Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
7842,Shot Chart Detail,21500209,177,201978,Chase Budinger,1610612754,Indiana Pacers,2,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,136,1,1,20151124,WAS,IND
7843,Shot Chart Detail,21500209,417,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,34,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20151124,WAS,IND
7844,Shot Chart Detail,21500231,149,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,198,1,0,20151127,IND,CHI
7845,Shot Chart Detail,21500231,193,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,224,1,0,20151127,IND,CHI
7846,Shot Chart Detail,21500253,175,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,104,16,1,1,20151129,LAL,IND
7847,Shot Chart Detail,21500253,426,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,20,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,0,20151129,LAL,IND
7848,Shot Chart Detail,21500253,435,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-16,247,1,0,20151129,LAL,IND
7849,Shot Chart Detail,21500276,189,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-34,214,1,0,20151202,LAC,IND
7850,Shot Chart Detail,21500281,136,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,183,1,1,20151203,POR,IND
7851,Shot Chart Detail,21500281,151,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-97,136,1,0,20151203,POR,IND
7852,Shot Chart Detail,21500281,153,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-174,164,1,1,20151203,POR,IND
7853,Shot Chart Detail,21500281,181,201978,Chase Budinger,1610612754,Indiana Pacers,2,4,28,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,52,1,1,20151203,POR,IND
7854,Shot Chart Detail,21500281,399,201978,Chase Budinger,1610612754,Indiana Pacers,4,11,18,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,155,2,1,0,20151203,POR,IND
7855,Shot Chart Detail,21500297,168,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,27,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,15,90,1,0,20151205,UTA,IND
7856,Shot Chart Detail,21500297,184,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,1,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-5,1,0,20151205,UTA,IND
7857,Shot Chart Detail,21500297,211,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,48,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151205,UTA,IND
7858,Shot Chart Detail,21500297,279,201978,Chase Budinger,1610612754,Indiana Pacers,2,0,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,0,20151205,UTA,IND
7859,Shot Chart Detail,21500297,453,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,143,200,1,0,20151205,UTA,IND
7860,Shot Chart Detail,21500314,164,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,24,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,2,1,0,20151208,IND,GSW
7861,Shot Chart Detail,21500314,190,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,28,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20151208,IND,GSW
7862,Shot Chart Detail,21500314,388,201978,Chase Budinger,1610612754,Indiana Pacers,4,11,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,55,242,1,1,20151208,IND,GSW
7863,Shot Chart Detail,21500314,399,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20151208,IND,GSW
7864,Shot Chart Detail,21500314,468,201978,Chase Budinger,1610612754,Indiana Pacers,4,3,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,0,20151208,IND,GSW
7865,Shot Chart Detail,21500314,500,201978,Chase Budinger,1610612754,Indiana Pacers,4,0,54,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20151208,IND,GSW
7866,Shot Chart Detail,21500314,498,201978,Chase Budinger,1610612754,Indiana Pacers,4,0,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,0,20151208,IND,GSW
7867,Shot Chart Detail,21500333,166,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-106,218,1,0,20151211,IND,MIA
7868,Shot Chart Detail,21500333,181,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,195,1,0,20151211,IND,MIA
7869,Shot Chart Detail,21500346,120,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20151212,DET,IND
7870,Shot Chart Detail,21500346,135,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-115,237,1,1,20151212,DET,IND
7871,Shot Chart Detail,21500346,165,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,55,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,21,1,0,20151212,DET,IND
7872,Shot Chart Detail,21500346,235,201978,Chase Budinger,1610612754,Indiana Pacers,2,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20151212,DET,IND
7873,Shot Chart Detail,21500346,446,201978,Chase Budinger,1610612754,Indiana Pacers,4,3,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,58,120,1,0,20151212,DET,IND
7874,Shot Chart Detail,21500346,461,201978,Chase Budinger,1610612754,Indiana Pacers,4,3,11,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,18,1,0,20151212,DET,IND
7875,Shot Chart Detail,21500346,484,201978,Chase Budinger,1610612754,Indiana Pacers,4,0,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,177,46,1,0,20151212,DET,IND
7876,Shot Chart Detail,21500357,127,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-109,254,1,0,20151214,IND,TOR
7877,Shot Chart Detail,21500357,144,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,31,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,62,1,1,20151214,IND,TOR
7878,Shot Chart Detail,21500357,163,201978,Chase Budinger,1610612754,Indiana Pacers,2,6,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20151214,IND,TOR
7879,Shot Chart Detail,21500357,353,201978,Chase Budinger,1610612754,Indiana Pacers,3,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,174,178,1,0,20151214,IND,TOR
7880,Shot Chart Detail,21500357,390,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,14,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,36,1,0,20151214,IND,TOR
7881,Shot Chart Detail,21500357,400,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-11,1,0,20151214,IND,TOR
7882,Shot Chart Detail,21500371,174,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,164,-1,1,0,20151216,IND,DAL
7883,Shot Chart Detail,21500371,395,201978,Chase Budinger,1610612754,Indiana Pacers,4,11,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,137,92,1,0,20151216,IND,DAL
7884,Shot Chart Detail,21500371,403,201978,Chase Budinger,1610612754,Indiana Pacers,4,10,24,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,0,20151216,IND,DAL
7885,Shot Chart Detail,21500371,481,201978,Chase Budinger,1610612754,Indiana Pacers,4,0,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,243,-1,1,0,20151216,IND,DAL
7886,Shot Chart Detail,21500386,125,201978,Chase Budinger,1610612754,Indiana Pacers,2,11,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-2,257,1,0,20151218,IND,BKN
7887,Shot Chart Detail,21500386,132,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,8,1,1,20151218,IND,BKN
7888,Shot Chart Detail,21500386,137,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151218,IND,BKN
7889,Shot Chart Detail,21500386,140,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,25,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,51,1,0,20151218,IND,BKN
